HS Code,Commodity Name,Year,Month,Country,Nominal Value,Annual Inflation Rate,CPI,Real Value,Category Type
2504,Natural Graphite,2014,May,Argentina,19158,1.62,108.5634,17646.83125252157,Ore / Raw
2504,Natural Graphite,2021,Jan,Argentina,5750,4.7,124.2543,4627.606449032347,Ore / Raw
2504,Natural Graphite,2010,Jan,Brazil,402305,1.64,100.0,402305.0,Ore / Raw
2504,Natural Graphite,2010,Feb,Brazil,228508,1.64,100.0,228508.0,Ore / Raw
2504,Natural Graphite,2010,Mar,Brazil,458104,1.64,100.0,458104.0,Ore / Raw
2504,Natural Graphite,2010,Apr,Brazil,403679,1.64,100.0,403679.0,Ore / Raw
2504,Natural Graphite,2010,May,Brazil,395938,1.64,100.0,395938.0,Ore / Raw
2504,Natural Graphite,2010,Jun,Brazil,480994,1.64,100.0,480993.99999999994,Ore / Raw
2504,Natural Graphite,2010,Jul,Brazil,452637,1.64,100.0,452637.0,Ore / Raw
2504,Natural Graphite,2010,Aug,Brazil,455826,1.64,100.0,455826.0,Ore / Raw
2504,Natural Graphite,2010,Sep,Brazil,549905,1.64,100.0,549905.0,Ore / Raw
2504,Natural Graphite,2010,Oct,Brazil,577717,1.64,100.0,577717.0,Ore / Raw
2504,Natural Graphite,2010,Nov,Brazil,590985,1.64,100.0,590985.0,Ore / Raw
2504,Natural Graphite,2010,Dec,Brazil,701173,1.64,100.0,701173.0,Ore / Raw
2504,Natural Graphite,2011,Jan,Brazil,145194,3.16,103.16,140746.4133385033,Ore / Raw
2504,Natural Graphite,2011,Feb,Brazil,545936,3.16,103.16,529212.8732066692,Ore / Raw
2504,Natural Graphite,2011,Mar,Brazil,492994,3.16,103.16,477892.5940286933,Ore / Raw
2504,Natural Graphite,2011,Apr,Brazil,398882,3.16,103.16,386663.43544009305,Ore / Raw
2504,Natural Graphite,2011,May,Brazil,580833,3.16,103.16,563040.9073284218,Ore / Raw
2504,Natural Graphite,2011,Jun,Brazil,486163,3.16,103.16,471270.8414113998,Ore / Raw
2504,Natural Graphite,2011,Jul,Brazil,644950,3.16,103.16,625193.8735944164,Ore / Raw
2504,Natural Graphite,2011,Aug,Brazil,551200,3.16,103.16,534315.6262117099,Ore / Raw
2504,Natural Graphite,2011,Sep,Brazil,934851,3.16,103.16,906214.6180690189,Ore / Raw
2504,Natural Graphite,2011,Oct,Brazil,1086799,3.16,103.16,1053508.1426909654,Ore / Raw
2504,Natural Graphite,2011,Nov,Brazil,584220,3.16,103.16,566324.1566498643,Ore / Raw
2504,Natural Graphite,2011,Dec,Brazil,832970,3.16,103.16,807454.4397053121,Ore / Raw
2504,Natural Graphite,2012,Jan,Brazil,734728,2.07,105.2954,697777.8706382235,Ore / Raw
2504,Natural Graphite,2012,Feb,Brazil,446621,2.07,105.2954,424160.02978287754,Ore / Raw
2504,Natural Graphite,2012,Mar,Brazil,681254,2.07,105.2954,646993.1260055045,Ore / Raw
2504,Natural Graphite,2012,Apr,Brazil,495910,2.07,105.2954,470970.2418149321,Ore / Raw
2504,Natural Graphite,2012,May,Brazil,707760,2.07,105.2954,672166.1155188166,Ore / Raw
2504,Natural Graphite,2012,Jun,Brazil,1089305,2.07,105.2954,1034522.8756431905,Ore / Raw
2504,Natural Graphite,2012,Jul,Brazil,646310,2.07,105.2954,613806.4910717846,Ore / Raw
2504,Natural Graphite,2012,Aug,Brazil,672339,2.07,105.2954,638526.4693424404,Ore / Raw
2504,Natural Graphite,2012,Sep,Brazil,424208,2.07,105.2954,402874.1996326525,Ore / Raw
2504,Natural Graphite,2012,Oct,Brazil,502502,2.07,105.2954,477230.72422916855,Ore / Raw
2504,Natural Graphite,2012,Nov,Brazil,498740,2.07,105.2954,473657.9185795391,Ore / Raw
2504,Natural Graphite,2012,Dec,Brazil,784982,2.07,105.2954,745504.551955736,Ore / Raw
2504,Natural Graphite,2013,Jan,Brazil,905010,1.46,106.8327,847128.2669070424,Ore / Raw
2504,Natural Graphite,2013,Feb,Brazil,771922,1.46,106.8327,722552.1773764025,Ore / Raw
2504,Natural Graphite,2013,Mar,Brazil,721085,1.46,106.8327,674966.5598641614,Ore / Raw
2504,Natural Graphite,2013,Apr,Brazil,656575,1.46,106.8327,614582.4265416862,Ore / Raw
2504,Natural Graphite,2013,May,Brazil,611714,1.46,106.8327,572590.6019411659,Ore / Raw
2504,Natural Graphite,2013,Jun,Brazil,659707,1.46,106.8327,617514.1131881905,Ore / Raw
2504,Natural Graphite,2013,Jul,Brazil,937672,1.46,106.8327,877701.3030654473,Ore / Raw
2504,Natural Graphite,2013,Aug,Brazil,947204,1.46,106.8327,886623.6648516794,Ore / Raw
2504,Natural Graphite,2013,Sep,Brazil,1235856,1.46,106.8327,1156814.3461692908,Ore / Raw
2504,Natural Graphite,2013,Oct,Brazil,1080182,1.46,106.8327,1011096.7896533551,Ore / Raw
2504,Natural Graphite,2013,Nov,Brazil,1030274,1.46,106.8327,964380.7560793652,Ore / Raw
2504,Natural Graphite,2013,Dec,Brazil,342582,1.46,106.8327,320671.47979972424,Ore / Raw
2504,Natural Graphite,2014,Jan,Brazil,312374,1.62,108.5634,287734.17192166054,Ore / Raw
2504,Natural Graphite,2014,Feb,Brazil,273372,1.62,108.5634,251808.62058483798,Ore / Raw
2504,Natural Graphite,2014,Mar,Brazil,533115,1.62,108.5634,491063.286521977,Ore / Raw
