Commodities,Countries,Nominal_Value,HS_Code,Month,Year,Inflation_Rate,CPI,Real_Value,CategoryType,YearMonth
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Vietnam,77814,7610,6,2012,1.7,104.75099999999999,74284.732,Refined/Articles,2012-06-01
"7604 Aluminum Bars, Rods And Profiles",Vietnam,11375632,7604,12,2022,6.5,135.51484256620265,8394380.855,Refined/Articles,2022-12-01
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,1132233,8108,3,2023,3.4,140.12234721345354,808031.711,Ore/Raw,2023-03-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,265065,7612,2,2019,2.3,117.27772275086842,226014.791,Other,2019-02-01
7412 Copper Tube Or Pipe Fittings,Indonesia,868459,7412,10,2014,0.8,107.17284311999997,810334.946,Other,2014-10-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Malaysia,7309,7612,7,2014,0.8,107.17284311999997,6819.825,Other,2014-07-01
7605 Aluminum Wire,Singapore,2400,7605,6,2024,2.9,144.18589528264368,1664.518,Refined/Articles,2024-06-01
7608 Aluminum Tubes And Pipes,Indonesia,117115,7608,10,2018,1.9,114.6409802061275,102158.059,Refined/Articles,2018-10-01
2614 Titanium Ores And Concentrates,Malaysia,934115,2614,5,2015,0.7,107.92305302183996,865537.968,Ore/Raw,2015-05-01
7609 Aluminum Tube Or Pipe Fittings,Thailand,22434,7609,2,2018,1.9,114.6409802061275,19568.919,Other,2018-02-01
7412 Copper Tube Or Pipe Fittings,Thailand,4265430,7412,11,2022,6.5,135.51484256620265,3147574.036,Other,2022-11-01
7616 Articles Of Aluminum Nesoi,Thailand,1005381,7616,6,2023,3.4,140.12234721345354,717502.254,Refined/Articles,2023-06-01
"7604 Aluminum Bars, Rods And Profiles",Indonesia,2766787,7604,5,2025,2.7,148.07891445527505,1868454.405,Refined/Articles,2025-05-01
"7604 Aluminum Bars, Rods And Profiles",Thailand,1949639,7604,7,2024,2.9,144.18589528264368,1352170.402,Refined/Articles,2024-07-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,301466,7415,10,2025,2.7,148.07891445527505,203584.691,Other,2025-10-01
7419 Articles Of Copper Nesoi,Philippines,32365,7419,11,2012,1.7,104.75099999999999,30897.08,Refined/Articles,2012-11-01
"7407 Copper Bars, Rods And Profiles",Vietnam,1048705,7407,4,2024,2.9,144.18589528264368,727328.424,Refined/Articles,2024-04-01
"7601 Aluminum, Unwrought",Singapore,5669603,7601,4,2018,1.9,114.6409802061275,4945529.068,Refined/Articles,2018-04-01
"7601 Aluminum, Unwrought",Malaysia,214118,7601,4,2017,2.1,112.50341531513985,190321.333,Refined/Articles,2017-04-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,21460034,7606,11,2018,1.9,114.6409802061275,18719339.246,Refined/Articles,2018-11-01
7609 Aluminum Tube Or Pipe Fittings,Malaysia,2610,7609,8,2020,1.4,118.91961086938058,2194.76,Other,2020-08-01
7412 Copper Tube Or Pipe Fittings,Singapore,280999,7412,9,2018,1.9,114.6409802061275,245112.175,Other,2018-09-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Philippines,804115,7610,9,2020,1.4,118.91961086938058,676183.679,Refined/Articles,2020-09-01
7616 Articles Of Aluminum Nesoi,Malaysia,806891,7616,3,2014,0.8,107.17284311999997,752887.557,Refined/Articles,2014-03-01
"7903 Zinc Dust, Powders And Flakes",Malaysia,962410,7903,3,2024,2.9,144.18589528264368,667478.603,Other,2024-03-01
7616 Articles Of Aluminum Nesoi,Singapore,216745,7616,11,2021,7.0,127.24398363023722,170338.113,Refined/Articles,2021-11-01
7404 Copper Waste And Scrap,Thailand,4726,7404,2,2015,0.7,107.92305302183996,4379.046,Ore/Raw,2015-02-01
7616 Articles Of Aluminum Nesoi,Singapore,319778,7616,11,2023,3.4,140.12234721345354,228213.419,Refined/Articles,2023-11-01
7503 Nickel Waste And Scrap,Singapore,120960,7503,2,2016,2.1,110.18943713529859,109774.587,Ore/Raw,2016-02-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,110818,7410,4,2015,0.7,107.92305302183996,102682.418,Refined/Articles,2015-04-01
7605 Aluminum Wire,Singapore,2703,7605,11,2014,0.8,107.17284311999997,2522.094,Refined/Articles,2014-11-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,2969759,7610,6,2018,1.9,114.6409802061275,2590486.399,Refined/Articles,2018-06-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,12664499,7606,6,2010,1.5,100.0,12664499.0,Refined/Articles,2010-06-01
7411 Copper Tubes And Pipes,Vietnam,1414296,7411,10,2013,1.5,106.32226499999997,1330197.396,Refined/Articles,2013-10-01
7907 Articles Of Zinc Nesoi,Malaysia,192872,7907,6,2022,6.5,135.51484256620265,142325.369,Refined/Articles,2022-06-01
"7407 Copper Bars, Rods And Profiles",Thailand,48700,7407,2,2010,1.5,100.0,48700.0,Refined/Articles,2010-02-01
7907 Articles Of Zinc Nesoi,Philippines,108234,7907,4,2021,7.0,127.24398363023722,85060.21,Refined/Articles,2021-04-01
7404 Copper Waste And Scrap,Singapore,474601,7404,11,2017,2.1,112.50341531513985,421854.749,Ore/Raw,2017-11-01
"7604 Aluminum Bars, Rods And Profiles",Indonesia,2462471,7604,9,2015,0.7,107.92305302183996,2281691.382,Refined/Articles,2015-09-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Malaysia,2840,7415,2,2020,1.4,118.91961086938058,2388.168,Other,2020-02-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Thailand,59166,7410,6,2024,2.9,144.18589528264368,41034.527,Refined/Articles,2024-06-01
"7604 Aluminum Bars, Rods And Profiles",Malaysia,1759716,7604,8,2015,0.7,107.92305302183996,1630528.373,Refined/Articles,2015-08-01
7608 Aluminum Tubes And Pipes,Vietnam,119115,7608,1,2014,0.8,107.17284311999997,111142.895,Refined/Articles,2014-01-01
7404 Copper Waste And Scrap,Singapore,134363,7404,12,2013,1.5,106.32226499999997,126373.342,Ore/Raw,2013-12-01
"7905 Zinc Plates, Sheet, Strip And Foil",Singapore,56435,7905,3,2025,2.7,148.07891445527505,38111.436,Refined/Articles,2025-03-01
7419 Articles Of Copper Nesoi,Burma,5100,7419,7,2015,0.7,107.92305302183996,4725.589,Refined/Articles,2015-07-01
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Vietnam,109330,7614,1,2022,6.5,135.51484256620265,80677.51,Refined/Articles,2022-01-01
7412 Copper Tube Or Pipe Fittings,Singapore,1291257,7412,9,2020,1.4,118.91961086938058,1085823.432,Other,2020-09-01
7608 Aluminum Tubes And Pipes,Indonesia,200090,7608,9,2018,1.9,114.6409802061275,174536.191,Refined/Articles,2018-09-01
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Malaysia,2098,7409,1,2023,3.4,140.12234721345354,1497.263,Refined/Articles,2023-01-01
7419 Articles Of Copper Nesoi,Singapore,265648,7419,12,2011,3.0,103.0,257910.68,Refined/Articles,2011-12-01
2817 Zinc Oxide And Zinc Peroxide,Thailand,35106,2817,9,2016,2.1,110.18943713529859,31859.678,Compound,2016-09-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Singapore,60638,7410,1,2015,0.7,107.92305302183996,56186.327,Refined/Articles,2015-01-01
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Singapore,2614,7409,7,2024,2.9,144.18589528264368,1812.937,Refined/Articles,2024-07-01
7907 Articles Of Zinc Nesoi,Thailand,15184,7907,4,2011,3.0,103.0,14741.748,Refined/Articles,2011-04-01
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Vietnam,38302,7614,2,2021,7.0,127.24398363023722,30101.227,Refined/Articles,2021-02-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Thailand,22379770,7615,10,2011,3.0,103.0,21727932.039,Other,2011-10-01
"7604 Aluminum Bars, Rods And Profiles",Malaysia,5935,7604,4,2010,1.5,100.0,5935.0,Refined/Articles,2010-04-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,7371,7607,8,2020,1.4,118.91961086938058,6198.305,Refined/Articles,2020-08-01
"7508 Articles Of Nickel, Nesoi",Malaysia,51093,7508,12,2019,2.3,117.27772275086842,43565.819,Refined/Articles,2019-12-01
7408 Copper Wire,Thailand,595263,7408,4,2016,2.1,110.18943713529859,540217.843,Refined/Articles,2016-04-01
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,20262,8108,2,2016,2.1,110.18943713529859,18388.332,Ore/Raw,2016-02-01
7419 Articles Of Copper Nesoi,Singapore,194008,7419,7,2019,2.3,117.27772275086842,165426.132,Refined/Articles,2019-07-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Thailand,1166812,7606,6,2016,2.1,110.18943713529859,1058914.566,Refined/Articles,2016-06-01
7608 Aluminum Tubes And Pipes,Malaysia,30564,7608,7,2024,2.9,144.18589528264368,21197.635,Refined/Articles,2024-07-01
7608 Aluminum Tubes And Pipes,Malaysia,150961,7608,10,2018,1.9,114.6409802061275,131681.533,Refined/Articles,2018-10-01
"7604 Aluminum Bars, Rods And Profiles",Vietnam,4435248,7604,8,2019,2.3,117.27772275086842,3781833.323,Refined/Articles,2019-08-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Philippines,2640,7615,2,2019,2.3,117.27772275086842,2251.067,Other,2019-02-01
7616 Articles Of Aluminum Nesoi,Cambodia,365232,7616,1,2018,1.9,114.6409802061275,318587.646,Refined/Articles,2018-01-01
7503 Nickel Waste And Scrap,Singapore,1323647,7503,5,2025,2.7,148.07891445527505,893879.459,Ore/Raw,2025-05-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Vietnam,80452,7607,12,2012,1.7,104.75099999999999,76803.085,Refined/Articles,2012-12-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,4245450,7607,3,2022,6.5,135.51484256620265,3132830.264,Refined/Articles,2022-03-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,16027,7607,6,2015,0.7,107.92305302183996,14850.395,Refined/Articles,2015-06-01
7616 Articles Of Aluminum Nesoi,Vietnam,178376,7616,12,2012,1.7,104.75099999999999,170285.725,Refined/Articles,2012-12-01
7616 Articles Of Aluminum Nesoi,Cambodia,1592355,7616,11,2025,2.7,148.07891445527505,1075342.162,Refined/Articles,2025-11-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Vietnam,16689,7607,5,2019,2.3,117.27772275086842,14230.324,Refined/Articles,2019-05-01
7616 Articles Of Aluminum Nesoi,Cambodia,511038,7616,6,2020,1.4,118.91961086938058,429734.0,Refined/Articles,2020-06-01
7609 Aluminum Tube Or Pipe Fittings,Malaysia,20804,7609,11,2012,1.7,104.75099999999999,19860.431,Other,2012-11-01
7605 Aluminum Wire,Malaysia,36736,7605,1,2025,2.7,148.07891445527505,24808.394,Refined/Articles,2025-01-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Indonesia,2896391,7610,3,2021,7.0,127.24398363023722,2276249.861,Refined/Articles,2021-03-01
7602 Aluminum Waste And Scrap,Thailand,352949,7602,2,2017,2.1,112.50341531513985,313722.92,Ore/Raw,2017-02-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Vietnam,5276271,7610,12,2024,2.9,144.18589528264368,3659353.08,Refined/Articles,2024-12-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Burma,65219,7607,7,2023,3.4,140.12234721345354,46544.325,Refined/Articles,2023-07-01
