Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member)
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,June 2012,77814
"7604 Aluminum Bars, Rods And Profiles",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,December 2022,11375632
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,March 2023,1132233
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2019,265065
7412 Copper Tube Or Pipe Fittings,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,October 2014,868459
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2014,7309
7605 Aluminum Wire,Singapore,All Country Subcodes,All Rate Provisions,All Districts,June 2024,2400
7608 Aluminum Tubes And Pipes,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,October 2018,117115
2614 Titanium Ores And Concentrates,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2015,934115
7609 Aluminum Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2018,22434
7412 Copper Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,November 2022,4265430
7616 Articles Of Aluminum Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2023,1005381
"7604 Aluminum Bars, Rods And Profiles",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,May 2025,2766787
"7604 Aluminum Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,July 2024,1949639
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,October 2025,301466
7419 Articles Of Copper Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,November 2012,32365
"7407 Copper Bars, Rods And Profiles",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,April 2024,1048705
"7601 Aluminum, Unwrought",Singapore,All Country Subcodes,All Rate Provisions,All Districts,April 2018,5669603
"7601 Aluminum, Unwrought",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,April 2017,214118
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,November 2018,21460034
7609 Aluminum Tube Or Pipe Fittings,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2020,2610
7412 Copper Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,September 2018,280999
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Philippines,All Country Subcodes,All Rate Provisions,All Districts,September 2020,804115
7616 Articles Of Aluminum Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,March 2014,806891
"7903 Zinc Dust, Powders And Flakes",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,March 2024,962410
7616 Articles Of Aluminum Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,November 2021,216745
7404 Copper Waste And Scrap,Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2015,4726
7616 Articles Of Aluminum Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,November 2023,319778
7503 Nickel Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,February 2016,120960
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,April 2015,110818
7605 Aluminum Wire,Singapore,All Country Subcodes,All Rate Provisions,All Districts,November 2014,2703
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2018,2969759
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,June 2010,12664499
7411 Copper Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,October 2013,1414296
7907 Articles Of Zinc Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,June 2022,192872
"7407 Copper Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2010,48700
7907 Articles Of Zinc Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,April 2021,108234
7404 Copper Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,November 2017,474601
"7604 Aluminum Bars, Rods And Profiles",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,September 2015,2462471
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,February 2020,2840
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2024,59166
"7604 Aluminum Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2015,1759716
7608 Aluminum Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2014,119115
7404 Copper Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,December 2013,134363
"7905 Zinc Plates, Sheet, Strip And Foil",Singapore,All Country Subcodes,All Rate Provisions,All Districts,March 2025,56435
7419 Articles Of Copper Nesoi,Burma,All Country Subcodes,All Rate Provisions,All Districts,July 2015,5100
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2022,109330
7412 Copper Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,September 2020,1291257
7608 Aluminum Tubes And Pipes,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,September 2018,200090
