"Nickel, Manganese, Niobium"
"Current date: 04/02/2026 11:45 AM (Eastern Daylight Time)"
"Commodity","Country","Time","Customs Value (Gen) ($US)",
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South/Central America","2015","2,350,796"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South/Central America","2016","275,952"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South/Central America","2017","411,706"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South/Central America","2018","2,543,726"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South/Central America","2019","4,637,411"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South/Central America","2020","327,632"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South/Central America","2021","135,000"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South/Central America","2022","136,549"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South/Central America","2023","242,855"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South/Central America","2024","47,408"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South/Central America","2025","544,350"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","2015","2,350,796"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","2016","275,952"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","2017","411,706"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","2018","2,543,726"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","2019","4,637,411"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","2020","327,632"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","2021","135,000"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","2022","136,549"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","2023","242,855"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","2024","47,408"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","2025","544,350"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Brazil","2015","2,350,796"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Brazil","2016","275,952"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Brazil","2017","411,706"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Brazil","2018","2,543,726"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Brazil","2019","4,637,411"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Brazil","2020","327,632"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Brazil","2021","135,000"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Brazil","2022","136,549"
