"Nickel, Manganese & Niobium 3"
"Current date: 04/10/2026 1:48 PM (Eastern Daylight Time)"
"Commodity","Country","Time","Customs Value (Gen) ($US)",
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","2010","2,521,954"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","February 2010","1,228,279"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","August 2010","1,293,675"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","2011","3,526,125"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","January 2011","1,142,773"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","May 2011","86,840"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","June 2011","964,901"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","August 2011","2,539"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","October 2011","18,547"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","November 2011","37,645"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","December 2011","1,272,880"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","2012","3,123,901"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","February 2012","687,216"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","April 2012","842,475"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","June 2012","125,069"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","August 2012","40,500"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","September 2012","17,840"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","November 2012","1,410,801"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","2013","3,382,263"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","January 2013","42,358"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","March 2013","1,378,583"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","April 2013","140,450"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","May 2013","19,790"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","June 2013","21,730"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","South America","August 2013","1,648,316"
