HS_Code,Commodity_Name,Country,Year,Nominal_Value_USD,Category_Type
2504,Natural Graphite,Argentina,2021,5750,Ore / Raw
2825,"Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc",Argentina,2015,19740,Compound
2825,"Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc",Argentina,2025,61501,Compound
2841,Salts Of Oxometallic Or Peroxometallic Acids,Argentina,2015,2435,Compound
2841,Salts Of Oxometallic Or Peroxometallic Acids,Argentina,2016,134273,Compound
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Argentina,2015,109773165,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Argentina,2016,84205662,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Argentina,2017,103585055,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Argentina,2018,153030143,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Argentina,2019,134665304,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Argentina,2020,93565194,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Argentina,2021,8039317,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Argentina,2022,12964245,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Argentina,2023,26208646,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Argentina,2024,28243886,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Argentina,2025,40330466,Refined / Articles
7404,Copper Waste And Scrap,Argentina,2024,2957,Refined / Articles
7408,Copper Wire,Argentina,2021,3418,Refined / Articles
7901,"Zinc, Unwrought",Argentina,2020,33220,Refined / Articles
7901,"Zinc, Unwrought",Argentina,2024,143803,Refined / Articles
8112,"Beryllium,chromium,hafnium,rhenium Etc & Articles",Argentina,2015,307402,Refined / Articles
8112,"Beryllium,chromium,hafnium,rhenium Etc & Articles",Argentina,2021,2885,Refined / Articles
8112,"Beryllium,chromium,hafnium,rhenium Etc & Articles",Argentina,2023,2177,Refined / Articles
2615,"Niobium, Tantalum, Vanadium & Zirconium Ore & Conc",Bolivia,2015,4913,Ore / Raw
2820,Manganese Oxides,Bolivia,2019,41742,Compound
2825,"Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc",Bolivia,2015,12516044,Compound
2825,"Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc",Bolivia,2016,5652240,Compound
2825,"Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc",Bolivia,2017,8626280,Compound
2825,"Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc",Bolivia,2018,9242482,Compound
2825,"Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc",Bolivia,2019,6903479,Compound
2825,"Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc",Bolivia,2020,4678302,Compound
2825,"Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc",Bolivia,2021,7544202,Compound
2825,"Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc",Bolivia,2022,13199018,Compound
2825,"Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc",Bolivia,2023,11392397,Compound
2825,"Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc",Bolivia,2024,16954078,Compound
2825,"Hydrazine Etc, Oth Inorg Bases; Metal Oxides Etc",Bolivia,2025,62220208,Compound
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Bolivia,2015,85857936,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Bolivia,2016,92661982,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Bolivia,2017,72507189,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Bolivia,2018,78029704,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Bolivia,2019,89881497,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Bolivia,2020,37681487,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Bolivia,2021,12764287,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Bolivia,2022,4948964,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Bolivia,2023,14398363,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Bolivia,2024,1312962,Refined / Articles
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",Bolivia,2025,220414,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",Bolivia,2015,8659567,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",Bolivia,2016,8684794,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",Bolivia,2017,9479566,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",Bolivia,2018,9638446,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",Bolivia,2019,9108173,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",Bolivia,2020,6775720,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",Bolivia,2021,6543859,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",Bolivia,2024,2019146,Refined / Articles
7403,"Refined Copper & Alloys (no Mast Alloy), Unwrought",Bolivia,2025,3642642,Refined / Articles
7404,Copper Waste And Scrap,Bolivia,2016,234394,Refined / Articles
