"Tin & Zinc 3"
"Current date: 04/10/2026 1:49 PM (Eastern Daylight Time)"
"Commodity","Country","Time","Customs Value (Gen) ($US)",
"2608 Zinc Ores And Concentrates","South America","2010","43,498,231"
"2608 Zinc Ores And Concentrates","South America","February 2010","11,972,439"
"2608 Zinc Ores And Concentrates","South America","March 2010","7,286,623"
"2608 Zinc Ores And Concentrates","South America","April 2010","7,579,289"
"2608 Zinc Ores And Concentrates","South America","October 2010","4,139,280"
"2608 Zinc Ores And Concentrates","South America","December 2010","12,520,600"
"2608 Zinc Ores And Concentrates","South America","2011","26,276,407"
"2608 Zinc Ores And Concentrates","South America","January 2011","9,501,049"
"2608 Zinc Ores And Concentrates","South America","April 2011","4,512,293"
"2608 Zinc Ores And Concentrates","South America","August 2011","8,727,961"
"2608 Zinc Ores And Concentrates","South America","December 2011","3,535,104"
"2608 Zinc Ores And Concentrates","South America","2017","14,890,085"
"2608 Zinc Ores And Concentrates","South America","March 2017","7,902,033"
"2608 Zinc Ores And Concentrates","South America","July 2017","6,988,052"
"2608 Zinc Ores And Concentrates","South America","2020","4,354,208"
"2608 Zinc Ores And Concentrates","South America","September 2020","4,354,208"
"2608 Zinc Ores And Concentrates","South America","2021","11,290,372"
"2608 Zinc Ores And Concentrates","South America","October 2021","11,290,372"
"2608 Zinc Ores And Concentrates","South America","2022","8,257,768"
"2608 Zinc Ores And Concentrates","South America","March 2022","8,257,768"
"2608 Zinc Ores And Concentrates","South America","2023","4,275,549"
"2608 Zinc Ores And Concentrates","South America","December 2023","4,275,549"
"2608 Zinc Ores And Concentrates","South America","2024","29,060,975"
"2608 Zinc Ores And Concentrates","South America","March 2024","5,331,089"
"2608 Zinc Ores And Concentrates","South America","August 2024","10,707,316"
"2608 Zinc Ores And Concentrates","South America","October 2024","13,022,570"
"2608 Zinc Ores And Concentrates","South America","2025","26,130,827"
"2608 Zinc Ores And Concentrates","South America","January 2025","12,810,423"
"2608 Zinc Ores And Concentrates","South America","June 2025","5,299,409"
"2608 Zinc Ores And Concentrates","South America","September 2025","8,020,995"
"2609 Tin Ores And Concentrates","South America","2018","156,000"
"2609 Tin Ores And Concentrates","South America","December 2018","156,000"
"2817 Zinc Oxide And Zinc Peroxide","South America","2010","5,707,473"
"2817 Zinc Oxide And Zinc Peroxide","South America","January 2010","40,319"
"2817 Zinc Oxide And Zinc Peroxide","South America","March 2010","41,676"
"2817 Zinc Oxide And Zinc Peroxide","South America","April 2010","50,828"
"2817 Zinc Oxide And Zinc Peroxide","South America","May 2010","84,751"
"2817 Zinc Oxide And Zinc Peroxide","South America","July 2010","170,505"
"2817 Zinc Oxide And Zinc Peroxide","South America","August 2010","1,231,896"
"2817 Zinc Oxide And Zinc Peroxide","South America","September 2010","810,863"
"2817 Zinc Oxide And Zinc Peroxide","South America","October 2010","828,838"
"2817 Zinc Oxide And Zinc Peroxide","South America","November 2010","898,569"
"2817 Zinc Oxide And Zinc Peroxide","South America","December 2010","1,549,228"
"2817 Zinc Oxide And Zinc Peroxide","South America","2011","2,124,119"
"2817 Zinc Oxide And Zinc Peroxide","South America","January 2011","42,525"
"2817 Zinc Oxide And Zinc Peroxide","South America","March 2011","46,999"
"2817 Zinc Oxide And Zinc Peroxide","South America","May 2011","139,908"
"2817 Zinc Oxide And Zinc Peroxide","South America","June 2011","1,006,130"
"2817 Zinc Oxide And Zinc Peroxide","South America","July 2011","788,688"
"2817 Zinc Oxide And Zinc Peroxide","South America","September 2011","43,686"
"2817 Zinc Oxide And Zinc Peroxide","South America","November 2011","56,183"
"2817 Zinc Oxide And Zinc Peroxide","South America","2012","342,576"
"2817 Zinc Oxide And Zinc Peroxide","South America","January 2012","111,004"
"2817 Zinc Oxide And Zinc Peroxide","South America","February 2012","2,235"
"2817 Zinc Oxide And Zinc Peroxide","South America","March 2012","75,142"
"2817 Zinc Oxide And Zinc Peroxide","South America","April 2012","60,601"
"2817 Zinc Oxide And Zinc Peroxide","South America","September 2012","33,602"
"2817 Zinc Oxide And Zinc Peroxide","South America","October 2012","59,992"
"2817 Zinc Oxide And Zinc Peroxide","South America","2013","2,637,397"
"2817 Zinc Oxide And Zinc Peroxide","South America","January 2013","79,318"
"2817 Zinc Oxide And Zinc Peroxide","South America","February 2013","2,003"
"2817 Zinc Oxide And Zinc Peroxide","South America","March 2013","41,192"
"2817 Zinc Oxide And Zinc Peroxide","South America","April 2013","1,513,933"
"2817 Zinc Oxide And Zinc Peroxide","South America","May 2013","397,550"
"2817 Zinc Oxide And Zinc Peroxide","South America","June 2013","480,646"
"2817 Zinc Oxide And Zinc Peroxide","South America","July 2013","36,050"
"2817 Zinc Oxide And Zinc Peroxide","South America","August 2013","36,036"
"2817 Zinc Oxide And Zinc Peroxide","South America","September 2013","50,669"
"2817 Zinc Oxide And Zinc Peroxide","South America","2014","4,722,341"
"2817 Zinc Oxide And Zinc Peroxide","South America","February 2014","344,688"
"2817 Zinc Oxide And Zinc Peroxide","South America","March 2014","352,967"
"2817 Zinc Oxide And Zinc Peroxide","South America","April 2014","700,789"
"2817 Zinc Oxide And Zinc Peroxide","South America","May 2014","348,950"
"2817 Zinc Oxide And Zinc Peroxide","South America","June 2014","1,022,076"
"2817 Zinc Oxide And Zinc Peroxide","South America","July 2014","550,960"
"2817 Zinc Oxide And Zinc Peroxide","South America","August 2014","375,231"
"2817 Zinc Oxide And Zinc Peroxide","South America","September 2014","635,262"
"2817 Zinc Oxide And Zinc Peroxide","South America","October 2014","345,918"
"2817 Zinc Oxide And Zinc Peroxide","South America","December 2014","45,500"
"2817 Zinc Oxide And Zinc Peroxide","South America","2015","3,224,232"
"2817 Zinc Oxide And Zinc Peroxide","South America","January 2015","736,754"
"2817 Zinc Oxide And Zinc Peroxide","South America","February 2015","377,113"
"2817 Zinc Oxide And Zinc Peroxide","South America","March 2015","329,412"
"2817 Zinc Oxide And Zinc Peroxide","South America","April 2015","453,108"
"2817 Zinc Oxide And Zinc Peroxide","South America","May 2015","204,453"
"2817 Zinc Oxide And Zinc Peroxide","South America","June 2015","79,939"
"2817 Zinc Oxide And Zinc Peroxide","South America","July 2015","336,014"
"2817 Zinc Oxide And Zinc Peroxide","South America","August 2015","43,248"
"2817 Zinc Oxide And Zinc Peroxide","South America","October 2015","169,856"
"2817 Zinc Oxide And Zinc Peroxide","South America","November 2015","332,668"
"2817 Zinc Oxide And Zinc Peroxide","South America","December 2015","161,667"
"2817 Zinc Oxide And Zinc Peroxide","South America","2016","8,824,201"
"2817 Zinc Oxide And Zinc Peroxide","South America","February 2016","155,440"
"2817 Zinc Oxide And Zinc Peroxide","South America","March 2016","71,230"
"2817 Zinc Oxide And Zinc Peroxide","South America","April 2016","33,580"
"2817 Zinc Oxide And Zinc Peroxide","South America","June 2016","128,038"
"2817 Zinc Oxide And Zinc Peroxide","South America","July 2016","144,408"
"2817 Zinc Oxide And Zinc Peroxide","South America","August 2016","86,640"
"2817 Zinc Oxide And Zinc Peroxide","South America","October 2016","8,160,794"
"2817 Zinc Oxide And Zinc Peroxide","South America","November 2016","44,071"
"2817 Zinc Oxide And Zinc Peroxide","South America","2017","2,187,879"
"2817 Zinc Oxide And Zinc Peroxide","South America","January 2017","93,350"
"2817 Zinc Oxide And Zinc Peroxide","South America","February 2017","101,464"
"2817 Zinc Oxide And Zinc Peroxide","South America","March 2017","102,079"
"2817 Zinc Oxide And Zinc Peroxide","South America","April 2017","871,790"
"2817 Zinc Oxide And Zinc Peroxide","South America","May 2017","102,063"
"2817 Zinc Oxide And Zinc Peroxide","South America","June 2017","97,306"
"2817 Zinc Oxide And Zinc Peroxide","South America","July 2017","49,673"
"2817 Zinc Oxide And Zinc Peroxide","South America","August 2017","97,305"
"2817 Zinc Oxide And Zinc Peroxide","South America","September 2017","94,392"
"2817 Zinc Oxide And Zinc Peroxide","South America","October 2017","75,844"
"2817 Zinc Oxide And Zinc Peroxide","South America","November 2017","338,349"
"2817 Zinc Oxide And Zinc Peroxide","South America","December 2017","164,264"
"2817 Zinc Oxide And Zinc Peroxide","South America","2018","7,469,037"
